State,Status/API Vendor ,"Information as of date
(Date Completing the Survey)",Member support contact phone number,Member support contact email,"Do Members (Beneficiaries) have ability to view records of when and with whom their data have been shared via the API?
(drop-down list)",Production Base URL for Claims Data (CARIN BB),"Production Base URL for Member Health Data (PDex), if different then claims URL","Production Base URL for Formulary, if different then claims URL","Production Base URL for CHIP data, if different then Medicaid","Status
(drop-down list)",Patient Access API Implementation Date,FHIR Capability Statement Link,"Data Refresh Frequency (e.g. Real-Time, Hourly, Daily, Weekly, Monthly) ","Are claims, encounters, and clinical data stored by SMA with dates of service on or after January 1, 2016 available?","FHIR Version 
(drop-down list)",Authentication Implementation Details,"Authentication Protocol 
(drop-down list)",IG(s) and version(s) Supported URL(s),Does the API use the recommended Implementation Guides (Y/N drop-down list),Sandbox/Test URL(s),API Registration Info,Developer Support Contact Info,Provider Directory Production Base URL,"Status 
(drop-down list)",Provider Directory API Implementation Date,FHIR Capability Statement Link,"Data Refresh Frequency (e.g. Real-Time, Hourly, Daily, Weekly, Monthly) ","Is the API Public?
(Y/N drop-down list) ","FHIR Version
(drop-down list)
",IG(s) and version(s) Supported URL(s),Does the API use the recommended Implementation Guide (Y/N drop-down list),Sandbox/Test URL,"API registration Info (URL, email)",Developer Support Contact Info
Michigan,Salesforce/MiHIN,10/14/2024,Beneficiary Help Line: 800-642-3195,myhealthbutton@michigan.gov,Yes,https://api.interopstation.com/mdhhs/fhir/,https://api.interopstation.com/mdhhs/fhir/,https://api.interopstation.com/mdhhs/fhir/,https://api.interopstation.com/mdhhs/fhir/,Active, 10/31/2021,https://api.interopstation.com/mdhhs/fhir/metadata,"Claims - Daily
Clinical - Real-time (based-upon receipt from sender/provider)
Drug Formulary - Monthly (refreshed upon receipt of data)",Yes,4.0.1,"Patient authentication utilizes State of Michigan single sign-on known as ""MILOGIN"", in combination with user onboarding to our Medicaid beneficiary portal or web app known as myHealthPortal or myHealthButton.",Oauth 2.0,"
CPCDS: CARIN C4BB v1.2.0: http://hl7.org/fhir/us/carin-bb/2022Jan/

Clinical: US Core v3.1.1: http://hl7.org/fhir/us/core/STU3.1.1/general-guidance.html

Drug Formulary: DaVinci Payer Data Exchange US Drug Formulary v1.0.0: http://hl7.org/fhir/us/davinci-drug-formulary/STU1/",Yes,"
https://api.interopstation.com/dev1/fhir/","Developer navigates to https://interopstation.com/ and signs up for a new account. After creating an account they create their application through the InterOp Station 3rd party Developer Portal (Name, Client Type, Authorization Code grant type, scope(s), Callback URLs / Redirect URIs, Privacy Policy PDF, Privacy Policy attestation, and security attestation) and then submit for approval prior to promoting the application for production client id and client secret credentials.

User Guide: https://mihin.org/wp-content/uploads/2022/08/InterOp-Station-Third-Party-Developer-Portal-User-Guide-v1-8-18-22.pdf",help@mihin.org,https://api.interopstation.com/mdhhs/fhir/ ,Active,10/31/2021,https://api.interopstation.com/mdhhs/fhir/metadata ,Daily,Yes,4.0.1,,No,https://api.interopstation.com/dev1/fhir/,"Developer navigates to https://interopstation.com/ and signs up for a new account. After creating an account they create their application through the InterOp Station 3rd party Developer Portal (Name, Client Type, Authorization Code grant type, scope(s), Callback URLs / Redirect URIs, Privacy Policy PDF, Privacy Policy attestation, and security attestation) and then submit for approval prior to promoting the application for production client id and client secret credentials.

User Guide: https://mihin.org/wp-content/uploads/2022/08/InterOp-Station-Third-Party-Developer-Portal-User-Guide-v1-8-18-22.pdf",help@mihin.org
Minnesota,Not Yet Implemented,10/9/2024,"Members enrolled in health plans contact their MCO, else 800-657-3739.",DHS.info@state.mn.us,No, , ,, ,Not yet started, , , ,, , , , , , , , , ,Not Yet Started, , , , , , , , , , 
Mississippi,Not Yet Implemented,10/8/2024,,,,,,,,In Development,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,Conduent,9/19/2024,800-392-2161,Ask.MHD@dss.mo.gov ,Yes,https://iox.mohealthnet.conduent.com/patientAccess/api/R4/ExplanationOfBenefit?patient=[patientSysID],,https://iox.mohealthnet.conduent.com/drugFormulary/api/R4/MedicationKnowledge?[parameters],,Active,3/11/2022,https://iox.mohealthnet.conduent.com/patientAccess/api/R4/metadata,"Daily for patient demographics, weekly for EOB",Yes,4.0.1,"Third party app registers and receives client ID & secret, which state Admin can revoke. When Member chooses that TPPHA, the TPPHA receives a token specific to that member, valid for 90 days, revocable by Member. ",Oauth 2.0,http://hl7.org/fhir/us/carin-bb/STU1/CapabilityStatement-c4bb.html,Yes,https://iox.uat.mohealthnet.conduent.com,https://iox.mohealthnet.conduent.com/,Amy.L.Kelsey@dss.mo.gov ,https://iox.mohealthnet.conduent.com/providerDirectory/api/R4/[parameters],Active,3/11/2022,https://iox.mohealthnet.conduent.com/providerDirectory/api/R4/metadata,Daily,Yes,4.0.1,http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/CapabilityStatement-plan-net.html,No,https://iox.uat.mohealthnet.conduent.com,https://iox.mohealthnet.conduent.com/,Amy.L.Kelsey@dss.mo.gov
Montana,Not  Implemented,10/10/2024,"Shellie McCann
Tim Peterson","RMcCann@mt.gov
tpeterson@mt.gov",No,Not Yet Available,Not Yet Available,Not Yet Available,N/A. All data will be available under one URL.,Not yet started,6/30/2026,Not yet available,Daily,Yes,,,,Not yet available,,Not yet available,Not yet available,Not yet available,Not yet available,In Development,3/31/2026,Not yet available,Daily trending to real-time,No,,Not yet available,,Not yet available,Not yet available,Not yet available
Nebraska,State Developed,4/26/2023,All support request for Interoperability are being captured via the email as noted in column E. There is no dedicated phone number for this initiative.,dhhs.interoperabilityrule@nebraska.gov​,,https://dhhs-api.ne.gov/dhhs/trading-partner/api/cmsi/patient-access-api/1.0.0/Patient,,Formulary File information is provided as a part of the Provider API ,,Active,9/30/2022,,Weekly,Yes,4.0.1,Member are required to be Identity Proofed once with the ID.Me. All members who are identity proofed are authenticated against the State's Identity Provider- Azure B2C. The  protocol used is OAUTH2.0 protocol and OIDC. The JWT Tokens are generated by the Identity provider and validated at the API Gateway.,Oauth 2.0,Using the Carin Blue Button Implementation Guide ,Yes,https://dhhs-uat-api.ne.gov/dhhs/trading-partner/api/cmsi/patient-access-api/1.0.0/Patient,Third Party Developers can register their apps through the App - https://interop-dhhs.nebraska.gov/appOwnerLandingHome, dhhs.vendorinteroperabilityrule@nebraska.gov​,https://dhhs-api.ne.gov/dhhs/trading-partner/api/cmsi/provider/1.0.0/,Active,9/30/2022,https://dhhs-api.ne.gov/dhhs/trading-partner/api/cmsi/provider/1.0.0/metadata,Weekly,Yes,4.0.1,Implementation Guide is the HL7 FHIR Da Vinci PDex Plan Net IG: Version STU 1.0.0,Yes,https://dhhs-sys-api.ne.gov/dhhs/trading-partner/api/cmsi/provider/1.0.0/metadata,Third Party Developers can register their apps through the App - https://interop-dhhs.nebraska.gov/appOwnerLandingHome, dhhs.vendorinteroperabilityrule@nebraska.gov​
Nevada,1up (Gainwell),4/27/2023,Based on Member locations see DWSS website https://dwss.nv.gov/Contact/Welfare/,"CareEvolution: fhir@careevolution.com

OneRecord: support@onerecord.com

Flexpa: support@flexpa.com",No,https://api.nevadafhir.com/r4/Explanationofbenefits,N/A,"https://api.nevadafhir.com/r4/public/MedicationKnowledge

https://api.nevadafhir.com/r4/public/List",N/A,Active,7/9/2021,https://api.nevadafhir.com/r4/metadata,Weekly,Yes,4.0.1,"When members first opt to share data with the first third-party application, they will be required to verify their identity and authorize access for that application. 
For subsequent applications, the members will enter their email address and receive a code by email to authenticate and authorize access. ",Oauth 2.0,"Administrative Health Plan Data: 

CARIN IG 1.1.0 - http://hl7.org/fhir/us/carin-bb/STU1.1/

1.2.0 -  http://hl7.org/fhir/us/carin-bb/2022Jan/",Yes,https://api.nevadafhirstage.com/,"Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html
","1upHealth Support Portal: 
https://1upsupport.force.com/s/","https://api.nevadafhir.com/r4/public/Practitioner

https://api.nevadafhir.com/r4/public/Organization

https://api.nevadafhir.com/r4/public/Location",Active,7/9/2021,https://api.nevadafhir.com/r4/metadata,Weekly,Yes,4.0.1,"DaVinci PDEX Plan Net:
http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/",Yes,https://api.nevadafhirstage.com/,"Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html

",1upHealth Support Portal: https://1upsupport.force.com/s/
New Hampshire,Conduent,5/19/2023,,,,https://iox.nhmmis.nh.gov/patientAccess/api/R4/ExplanationOfBenefit,,,,Active,7/21/2021,,Daily,Yes,4.0.1,,SMART-on-FHIR,,Yes,,https://iox.nhmmis.nh.gov/appRegistration,MMISInteroperabilityAdmin@dhhs.nh.gov.,https://iox.nhmmis.nh.gov/providerDirectory/api/R4/Practitioner,Active,6/1/2025,https://iox.nhmmis.nh.gov/providerDirectory/api/R4/metadata,Daily,Yes,4.0.1,,No,,https://iox.nhmmis.nh.gov/appRegistration,MMISInteroperabilityAdmin@dhhs.nh.gov.
New Jersey,Salesforce/MiHIN,10/14/2024,800-356-1561,"Heldesk Form Available Instead: 

https://notification.njhin.info/#/submitticket?IsMMIS=true","There is no self-serve access to that, but if a member requested it of NJII and NJII requested it of Velatura, the information could be retrieved via the logs. NJII would need to identity proof the member and obtain and provide their common key from the MMIS ACRS file.",https://api.interopstation.com/njios/fhir/,,https://api.interopstation.com/njios/fhir/,,Active,7/1/2023,https://api.interopstation.com/njios/fhir/metadata,Weekly,Yes,v4.0.1,"""Developer navigates to https://interopstation.com/ and signs up for a new account. After creating an account they create their application through the InterOp Station 3rd party Developer Portal (Name, Client Type, Authorization Code grant type, scope(s), Callback URLs / Redirect URIs, Privacy Policy PDF, Privacy Policy attestation, and security attestation) and then submit for approval prior to promoting the application for production client id and client secret credentials.

User Guide: https://mihin.org/wp-content/uploads/2022/08/InterOp-Station-Third-Party-Developer-Portal-User-Guide-v1-8-18-22.pdf""",Oauth 2.0,"""CPCDS: CARIN Consumer Directed Payer Data Exchange (CARIN IG for Blue Button) v1.1.0: http://hl7.org/fhir/us/carin-bb/STU1.1/

Drug Formulary: DaVinci Payer Data Exchange US Drug Formulary v1.0.0: http://hl7.org/fhir/us/davinci-drug-formulary/STU1/""",Yes,https://api.interopstation.com/dev1/fhir/,"""Developer navigates to https://interopstation.com/ and signs up for a new account. After creating an account they create their application through the InterOp Station 3rd party Developer Portal (Name, Client Type, Authorization Code grant type, scope(s), Callback URLs / Redirect URIs, Privacy Policy PDF, Privacy Policy attestation, and security attestation) and then submit for approval prior to promoting the application for production client id and client secret credentials.

User Guide: https://mihin.org/wp-content/uploads/2021/11/InterOp-Station-Third-party-Developer-Portal-User-Guide-v3-9-10-21-1.pdf""",help@velatura.org,https://api.interopstation.com/njios/fhir/,Active,7/1/2021,https://api.interopstation.com/njios/fhir/metadata,Weekly,Yes,v4.0.1,Health Directory: Da Vinici Payer Data Exchange v1.0.0: http://hl7.org/fhir/us/davinci-pdex/STU1/,No,https://api.interopstation.com/dev1/fhir/,"""Developer navigates to https://interopstation.com/ and signs up for a new account. After creating an account they create their application through the InterOp Station 3rd party Developer Portal (Name, Client Type, Authorization Code grant type, scope(s), Callback URLs / Redirect URIs, Privacy Policy PDF, Privacy Policy attestation, and security attestation) and then submit for approval prior to promoting the application for production client id and client secret credentials.

User Guide: https://mihin.org/wp-content/uploads/2021/11/InterOp-Station-Third-party-Developer-Portal-User-Guide-v3-9-10-21-1.pdf""",help@velatura.org
New Mexico,Not Yet Implemented,10/10/2024,,,No,,,,,In Development,7/31/2026,,,,,,,,,,,,,In Development,Targeted January 2026,,,,,,,,,
New York,1up (Gainwell),10/3/2024,TBD,TBD,Yes,https://api.newyorkfhir.com,,,,Active,4/4/2025,https://api.newyorkfhir.com/r4/metadata,Within 24 hours after claims adjudication. Normal cycle is weekly.,Yes,4.0.1,FHIR R4,Oauth 2.0,"Version 4.0.1 for FHIR R4, http://hl7.org/fhir/us/carin-bb/STU1.1/,  http://hl7.org/fhir/us/core/STU3.1.1/",Yes,Yes,TBD,https://plans.docs.1up.health/health-plans/Content/en-US/health-plans/new-york.html?cshid=1034,https://api.newyorkfhir.com ,Active,4/4/2025,https://api.newyorkfhir.com/r4/metadata,Within 24 hours after claims adjudication. Normal cycle is weekly.,No,4.0.1,https://hl7.org/fhir/r4/resourcelist.html,No,https://docs.1up.health/help-center/Content/en-US/get-started/cms-patient-access/test-apps-sandbox.html,https://docs.1up.health/help-center/Content/en-US/get-started/cms-patient-access/developer-overview.html,https://plans.docs.1up.health/health-plans/index.html#cshid=1034 
North Carolina,Not Yet Implemented/Amida,10/8/2024,,,,,,,,In Development,9/30/2025,,,,,,,,,,,,,,1/30/2026,,,,,,,,,
North Dakota,Edifecs,5/8/2023,,,No,https://us120.fhir.m3.edifecsfedcloud.com/nd_pa ,,,,Active,12/19/2022,https://us120.fhir.m3.edifecsfedcloud.com/nd_meta/metadata  ,Weekly,Yes,4.0.1,,Oauth 2.0,HL7 FHIR CARIN Blue Button IG,Yes,https://uat120.fhir.m3.edifecsfedcloud.com/nd_pa ,,support@edifecs.com,https://us120.fhir.m3.edifecsfedcloud.com/nd_pd  ,Active,8/11/2022,https://us120.fhir.m3.edifecsfedcloud.com/nd_meta/metadata  ,Monthly,No,4.0.1,http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/,Yes,https://uat120.fhir.m3.edifecsfedcloud.com/nd_pd  ,,support@edifecs.com
Ohio,Not Yet Implemented,10/9/2024,,Dawn.Pittenger@medicaid.ohio.gov,No,,,,,In Development,6/29/2025,,,,,,,,,,,,,In Development,6/29/2025,,,,,,,,,
Oklahoma,1up (Gainwell),10/3/2024,TBD ,"CareEvolution: fhir@careevolution.com

OneRecord: support@onerecord.com
contact@icanbwell.com",No,https://api.oklahomafhir.com,,"https://api.oklahomafhir.com/r4/public/MedicationKnowledge

https://api.oklahomafhir.com/r4/public/List",,Active,10/26/2023,https://api.oklahomafhir.com/r4/metadata,Weekly,Yes,4.0.1,"When members first opt to share data with the first third-party application, they will be required to verify their identity and authorize access for that application.
For subsequent applications, the members will enter their email address and receive a code by email to authenticate and authorize access.
Application developers must be onboarded through the 1upHealth registration process to enable authentication",Oauth 2.0,"Administrative Health Plan Data:

CARIN IG 1.1.0 - http://hl7.org/fhir/us/carin-bb/STU1.1/

1.2.0 -  http://hl7.org/fhir/us/carin-bb/2022Jan/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html


Registration: https://1up.health/docs/start/quick-start-guide/register","1upHealth Support Portal:
https://1upsupport.force.com/s/

https://plans.docs.1up.health/health-plans/Content/en-US/health-plans/oklahoma.html?cshid=1036 ",https://api.oklahomafhir.com,Active,10/26/2023,https://api.oklahomafhir.com/r4/metadata,Weekly,Yes,4.0.1,"DaVinci PDEX Plan Net:
http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html

","1upHealth Support Portal: https://1upsupport.force.com/s/

https://plans.docs.1up.health/health-plans/Content/en-US/health-plans/oklahoma.html?cshid=1036 "
Oregon,1up (Gainwell),10/3/2024,TBD,TBD,Yes,https://api.oregonfhir.com,,,,In Development,5/1/2025,https://api.oregonfhir.com/r4/metadata,TBD,,4.0.1,FHIR R4,Oauth 2.0,"Version 4.0.1 for FHIR R4, http://hl7.org/fhir/us/carin-bb/STU1.1/,  http://hl7.org/fhir/us/core/STU3.1.1/",Yes,Yes,TBD,TBD,https://api.oregonfhir.com ,In Development,5/1/2025,https://api.oregonfhir.com/r4/metadata ,TBD,Yes,4.0.1,https://hl7.org/fhir/r4/resourcelist.html,Yes,https://docs.1up.health/help-center/Content/en-US/get-started/cms-patient-access/test-apps-sandbox.html,"Registration:
 https://1up.health/docs/start/quick-start-guide/register ",TBD
Pennsylvania,1up (Gainwell),10/9/2024,,"CareEvolution: fhir@careevolution.com

OneRecord: support@onerecord.com

b.Well: contact@icanbwell.com

Health X Change:
admin@health-x-change.com

Flexpa: support@flexpa.com

mPowered: nandini@mpoweredhealth.com

ReimburseRPM:
sales@ReimburseRPM.com

Wisely Health: support@wisely.health",No,https://api.pennsylvaniafhir.com/r4/ExplanationOfBenefits,N/A,"""https://api.pennsylvaniafhir.com/r4/public/MedicationKnowledge

https://api.pennsylvaniafhir.com/r4/public/List""",N/A,Active,8/1/2024,https://api.pennsylvaniafhir.com/r4/metadata,Weekly,Yes,4.0.1,"When members first opt to share data with the first third-party application, they will be required to verify their identity and authorize access for that application.
For subsequent applications, the members will enter their email address and receive a code by email to authenticate and authorize access. 
Application developers must be onboarded through the 1upHealth registration process to enable authentication",Oauth 2.0,"Administrative Health Plan Data:

CARIN IG 1.1.0 - http://hl7.org/fhir/us/carin-bb/STU1.1/

1.2.0 -  http://hl7.org/fhir/us/carin-bb/2022Jan/",Yes,https://api.pennsylvaniafhirstage.com/,"Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html

",https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html,"https://api.pennsylvaniafhir.com/r4/Public/Practitioner

https://api.pennsylvaniafhir.com/r4/public/Organization

https://api.pennsylvaniafhir.com/r4/public/Location",Active,12/21/2023,https://api.pennsylvaniafhir.com/r4/metadata,Monthly,Yes,4.0.1,"DaVinci PDEX Plan Net:
http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/",Yes,https://api.pennsylvaniaFHIRstage.com/,"Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html

","https://docs.1up.health/help-center/Content/en-US/get-started/get-started.html

docs@1up.health"
Rhode Island,1up (Gainwell),4/27/2023,,"CareEvolution: fhir@careevolution.com
b.Well: support@icanbwell.com

OneRecord: support@onerecord.com
Flexpa: support@flexpa.com

mPowered: nandini@mpoweredhealth.com

1upHealth Patient App: support@1up.health",No,https://api.rhodeislandfhir.com/r4/Explanationofbenefits,,"https://api.rhodeislandfhir.com/r4/public/MedicationKnowledge

https://api.rhodeislandfhir.com/r4/public/List",,Active,1/1/2023,https://api.rhodeislandfhir.com/r4/metadata,Weekly,Yes,4.0.1,"When members first opt to share data with the first third-party application, they will be required to verify their identity and authorize access for that application. 
For subsequent applications, the members will enter their email address and receive a code by email to authenticate and authorize access. ",Oauth 2.0,"Administrative Health Plan Data: 

CARIN IG 1.1.0 - http://hl7.org/fhir/us/carin-bb/STU1.1/

1.2.0 -  http://hl7.org/fhir/us/carin-bb/2022Jan/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html
","1upHealth Support Portal: 
https://1upsupport.force.com/s/","https://api.rhodeislandfhir.com/r4/public/Practitioner

https://api.rhodeislandfhir.com/r4/public/Organization

https://api.rhodeislandfhir.com/r4/public/Location",Active,1/1/2023,https://api.rhodeislandfhir.com/r4/metadata,Weekly,Yes,4.0.1,"DaVinci PDEX Plan Net:
http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html

",1upHealth Support Portal: https://1upsupport.force.com/s/
South Carolina,Offline,9/18/2024,888-549-0820,info@scdhhs.gov,No,https://claims.fhir.scdhhs.online/fhir/patientaccess/ExplanationOfBenefit?_pretty=true,https://pa.fhir.scdhhs.online/fhir/patientaccess/Patient?name=&_pretty=true,,,Offline,6/22/2021,https://pa.fhir.scdhhs.online/fhir/patientaccess/resource?serverId=home_r4&pretty=true&_summary=&resource=,Daily,No,4.0.1,,Basic,"https://build.fhir.org/ig/HL7/carin-bb/StructureDefinition-C4BB-Patient.html
http://hl7.org/fhir/us/core/ImplementationGuide/hl7.fhir.us.core",Yes,,TeamDevops@scdhhs.gov,messupport@scdhhs.gov,https://pd.fhir.scdhhs.online/fhir/providerdirectory/Practitioner?name=&_pretty=true,Offline,6/22/2021,https://pd.fhir.scdhhs.online/fhir/providerdirectory/resource?serverId=home_r4&pretty=true&_summary=&resource=,Daily,No,4.0.1,https://build.fhir.org/ig/HL7/davinci-pdex-plan-net/profiles.html,Yes,,TeamDevops@scdhhs.gov,messupport@scdhhs.gov
South Dakota,Conduent,9/26/2024,1-877-350-2171,IPA.Helpdesk@state.sd.us,Yes,https://iox.sddss.apps.conduent.com/patientAccess/api/R4/ExplanationOfBenefit?patient=[patientSysID],,https://iox.sddss.apps.conduent.com/drugFormulary/api/R4/MedicationKnowledge?[parameters],,Active,9/26/2024,"https://iox.sddss.apps.conduent.com/patientAccess/api/R4/metadata
","Daily for patient demographics, weekly for EOB",Yes,4.0.1,"Third party app registers and receives client ID & secret, which state Admin can revoke. When Member chooses that TPPHA, the TPPHA receives a token specific to that member, valid for 90 days, revocable by Member. ",Oauth 2.0,http://hl7.org/fhir/us/carin-bb/STU1/CapabilityStatement-c4bb.html,Yes,https://iox.sb.sddss.apps.conduent.com,https://iox.sddss.apps.conduent.com/,IPA.Helpdesk@state.sd.us,https://iox.sddss.apps.conduent.com/providerDirectory/api/R4/[parameters],Active,9/26/2024,https://iox.sddss.apps.conduent.com/providerDirectory/api/R4/metadata,Daily,Yes,4.0.1,http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/CapabilityStatement-plan-net.html,yes,https://iox.sb.sddss.apps.conduent.com/,https://iox.sddss.apps.conduent.com/,IPA.Helpdesk@state.sd.us
Tennessee,Not  Implemented; MCO Enrollees >90%,10/8/2024,,,,,,,,Not yet started,TBD,,,,,,,,,,,,,Not Yet Started,TBD,,,,,,,,,
Texas,Edifecs,8/7/2023, 800-252-8263,webmaster@hhsc.state.tx.us,No,https://cmsinterop.tmhp.com/tmhp/fhir/R4/,,https://cmsinterop.tmhp.com/tmhp/fhir/pd/R4/,This is same as Claims URL(Patient access API).  CHIP member data is available however CHIP claims are managed and available from another payer.,Active,6/30/2023,This is TBD as the APIs are not implemented yet. We are using CARIN and will be FHIR compliant.," Claims Daily refresh
Member and coverage Monthly refresh","Yes

Claims are available.  MCO claims (encounters) are available via the specific MCO payer endpoint only.  Clinical data not present in FFS claims data or available via FHIR",4.0.1,Authentication leverages existing internal client identify management site (YourTexasBenefits.com).  This  site is called with user credentials and returns response including patient control number (PCN) and other details used to locate the appropriate FHIR resources needed in the API response.,Oauth 2.0,http://hl7.org/fhir/R4/implementationguide.html,Yes,"Oauth Auth URL: https://cmsinterop-uat.tmhp.com/tmhp_auth/authorize
Oauth Token URL: https://cmsinterop-uat.tmhp.com/tmhp_auth/token
Claims and Member base URL: https://cmsinterop-uat.tmhp.com/tmhp/fhir/R4/
Formulary base URL: https://cmsinterop-uat.tmhp.com/tmhp/fhir/pd/R4/
Provider base URL: https://cmsinterop-uat.tmhp.com/tmhp/fhir/pd/R4/",TBD,IT_APD@hhsc.state.tx,https://cmsinterop.tmhp.com/tmhp/fhir/pd/R4/,Active,6/30/2023,https://cmsinterop.tmhp.com/tmhp/fhir/pd/R4/metadata,Monthly,Yes,4.0.1,,Yes,URL: https://cmsinterop-uat.tmhp.com/tmhp/fhir/pd/R4/,TBD - this is not determined yet.,IT_APD@hhsc.state.tx
Utah,Implemented,10/9/2024,866-608-9422,medicaid.utah.gov/member,No,https://fp.medicaid.utah.gov/ProviderClient/metadata ,same,same,same,Active,8/3/2023,https://fp.medicaid.utah.gov/ProviderClient/metadata,Weekly,No,4.1.0,https://fp.medicaid.utah.gov/VendorService/patientapi,Oauth 2.0,https://fp.medicaid.utah.gov/VendorService/patientapi,No,https://tng-mybenefits.utah.gov/ProviderClient,https://fp.medicaid.utah.gov/VendorService/registration,medicaid-phr-api@utah.gov,https://fp.medicaid.utah.gov/ProviderDirectoryServices/metadata,Active,8/4/2022,https://fp.medicaid.utah.gov/VendorService/patientapi,Daily,No,4.1.0,http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/,No,https://tng-mybenefits.utah.gov/ProviderClient/metadata,https://fp.medicaid.utah.gov/VendorService/registration,medicaid-phr-api@utah.gov
Vermont,1up (Gainwell),4/28/2023,,"CareEvolution: fhir@careevolution.com

OneRecord: support@onerecord.com",No,https://api.vermontFHIR.com/r4/Explanationofbenefits,,https://api.vermontfhir.com/r4/public/MedicationKnowledge,,Active,7/1/2022,https://api.vermontfhir.com/r4/metadata,Weekly,Yes,4.0.1,"When members first opt to share data with the first third-party application, they will be required to verify their identity and authorize access for that application. ",Oauth 2.0,CARIN IG 1.1.0 - http://hl7.org/fhir/us/carin-bb/STU1.1/,Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

Register: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/register.html
",1upHealth Support Portal: ,https://api.vermontfhir.com/r4/public/Practitioner,Active,7/29/2022,https://api.vermontfhir.com/r4/metadata,Weekly,Yes,4.0.1,"DaVinci PDEX Plan Net:
http://hl7.org/fhir/us/davinci-pdex-plan-net/STU1/",Yes,"https://api.1updemohealthplan.com/r4/metadata
","Quick Start Guide: https://docs.1up.health/help-center/Content/en-US/get-started/quick-start/qsg.html

",1upHealth Support Portal: https://1upsupport.force.com/s/
Virginia,Not  Implemented; MCO Enrollees >90%,10/9/2024,,,No,,,,,Not yet started,,,, , ,"To be decided
", ,, ,,,,,Not Yet Started,2027,,, , ,, ,,,
Washington,CNSI Provider One,5/3/2023,800-562-3022,askmagi@hca.wa.gov,No,https://wa.fhir.mhbapp.com/c4bb/ExplanationOfBenefit,https://wa.fhir.mhbapp.com/c4bb/Patient,,,Active,12/10/2021,https://wa.fhir.mhbapp.com/pa/api/v1/metadata?_format=json,Weekly,Yes,4.0.1,"The Users will be redirected to Secure Access Washington(SAW) for Authentication,  when they choose Washington FHIR Server from any third party application. SAW will post back a SAML assertion to Washington's SMART on FHIR once the user is authenticated through SAW. SMART on FHIR will create/update the User Profile, obtain Authorization and Consent from the user, validate the patient and associate the Patient ID with Login ID.",SMART-on-FHIR,http://hl7.org/fhir/R4/implementationguide.html,Yes,https://sandbox.mhbapp.com/index.html,https://arp.wa.fhir.mhbapp.com/patient-access.html,https://sandbox.mhbapp.com/contact-us.html,https://wa.fhir.mhbapp.com/pd/api/v1/Practitioner,Active,10/15/2021,https://wa.fhir.mhbapp.com/pd/api/v1/metadata?_format=json&_pretty=true,Daily,Yes,4.0.1,http://hl7.org/fhir/R4/implementationguide.html,Yes,https://sandbox.mhbapp.com/provider-directory.html,https://arp.wa.fhir.mhbapp.com/patient-access.html,https://sandbox.mhbapp.com/contact-us.html
